                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.341,                 1.4358,                 1.8696,                0.83652,                0.36327,                 0.4105,                0.25567,                 1.3567,                  1.366,                 2.1044,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.3825,                 1.4573,                 1.8677,                0.87983,                0.34694,                 0.4216,                0.26216,                 1.3547,                 1.4145,                 2.0839,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.3352,                 1.4886,                 1.8369,                0.84833,                 0.3898,                0.45184,                 0.2922,                 1.2891,                 1.3095,                 1.9745,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3351,                 1.4315,                 1.8284,                 0.8772,                0.36358,                0.46283,                 0.2945,                 1.2709,                  1.269,                 1.9709,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2853,                 1.4009,                 1.7917,                0.85984,                0.38163,                0.45757,                0.31204,                 1.2716,                 1.3227,                 1.9635,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.3106,                 1.4614,                 1.8298,                0.35613,                0.56735,                0.52674,                0.32417,                 1.2967,                 1.2945,                 2.0448,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.3063,                 1.4137,                 1.8029,                0.87084,                0.36122,                0.42236,                0.27232,                 1.2821,                 1.2751,                 2.0109,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2753,                 1.3537,                 1.7916,                0.87278,                0.31694,                0.41765,                 0.2775,                 1.2021,                 1.2979,                 1.8983,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2422,                 1.3543,                 1.7499,                0.89078,                0.34898,                0.45741,                0.29063,                 1.3339,                 1.3127,                 2.0139,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2566,                 1.3997,                 1.7765,                0.87887,                0.37347,                0.42697,                0.28266,                 1.2483,                 1.2533,                 1.9788,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2631,                 1.3607,                 1.7733,                0.90689,                0.35672,                0.44131,                0.29266,                 1.1951,                  1.225,                  1.918,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2443,                 1.3398,                 1.7587,                0.87343,                0.37551,                0.47203,                0.30425,                  1.321,                 1.2253,                 2.0252,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2034,                 1.3533,                 1.7354,                0.37527,                0.46224,                0.45654,                0.29661,                 1.2031,                 1.1904,                 1.8846,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2068,                 1.2823,                 1.7102,                  0.892,                 0.3778,                0.44617,                0.29498,                 1.2095,                 1.1704,                 1.8905,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2165,                 1.3348,                 1.7282,                0.85341,                0.36939,                0.42627,                0.28678,                 1.1346,                 1.2735,                 1.8248,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.1845,                 1.2831,                 1.7104,                0.89515,                0.37687,                0.45444,                0.30345,                 1.1364,                 1.1828,                 1.8198,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.2321,                 1.3112,                  1.734,                0.30179,                    0.5,                 0.4375,                0.28624,                   1.23,                 1.2136,                 1.9026,             0.00085834,             0.00085834,             0.00085834
                     51,                  1.179,                   1.27,                 1.6948,                0.90117,                0.38109,                0.45026,                0.30926,                 1.1458,                 1.1072,                 1.8536,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.1919,                 1.2893,                  1.718,                0.89151,                0.40816,                0.45306,                0.30509,                 1.1825,                 1.1408,                  1.837,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.1557,                 1.2445,                 1.6958,                0.82434,                0.38437,                0.43637,                 0.2944,                 1.1368,                 1.2388,                 1.8228,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.1611,                 1.2508,                 1.6917,                0.84882,                0.39796,                0.46667,                0.32426,                 1.1661,                  1.181,                 1.8725,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.1766,                 1.2541,                 1.6917,                0.88841,                 0.3907,                0.45513,                0.29646,                 1.2323,                  1.209,                 1.9109,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1691,                 1.2346,                 1.6927,                0.88785,                    0.4,                0.46231,                0.31201,                 1.1066,                 1.1655,                 1.7682,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.1512,                 1.2362,                 1.6728,                 0.8933,                0.39388,                0.46664,                0.31833,                 1.0911,                  1.098,                 1.7937,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1642,                 1.1999,                 1.7015,                0.89093,                0.40204,                0.45898,                0.31717,                 1.0826,                 1.0861,                 1.7633,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1417,                 1.2028,                 1.6807,                 0.9138,                0.40166,                0.47271,                0.33243,                 1.0622,                 1.0434,                 1.7511,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1412,                 1.1907,                 1.6719,                0.90246,                0.39576,                0.46665,                0.32769,                 1.0912,                 1.0294,                 1.7741,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1255,                 1.1935,                 1.6473,                0.92743,                 0.3898,                0.48161,                0.33236,                 1.1076,                 1.0117,                 1.7253,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1392,                 1.1716,                 1.6643,                0.89238,                0.41224,                0.47305,                0.32607,                 1.1364,                 1.0237,                 1.8137,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.0976,                  1.149,                 1.6389,                0.86151,                0.35306,                0.42049,                0.27123,                 1.2542,                 1.2571,                 1.8692,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1096,                 1.1963,                 1.6622,                0.86454,                 0.3898,                0.46164,                0.31446,                 1.1471,                 1.1656,                 1.7574,             0.00062729,             0.00062729,             0.00062729
                     65,                  1.079,                 1.1823,                 1.6207,                0.91719,                0.39067,                0.48159,                0.34179,                 0.9883,                 1.0098,                 1.6592,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0987,                 1.1588,                 1.6392,                0.35318,                0.56429,                0.52091,                0.37729,                 1.0694,                 1.0368,                 1.7604,             0.00059429,             0.00059429,             0.00059429
                     67,                  1.109,                 1.1843,                 1.6255,                0.35368,                   0.55,                0.48039,                0.33293,                  1.102,                 1.0357,                 1.7735,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.0756,                 1.1477,                 1.5927,                0.90686,                0.40816,                0.47582,                0.34816,                0.97676,                0.98801,                 1.6354,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.0679,                 1.1387,                 1.6162,                0.91255,                0.39473,                0.46396,                0.32953,                0.98053,                 1.0291,                 1.6405,             0.00054478,             0.00054478,             0.00054478
                     70,                  1.049,                 1.1034,                 1.5897,                0.89623,                0.41303,                0.46528,                0.32639,                 1.0148,                  1.046,                 1.6611,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0676,                 1.0971,                 1.6002,                0.34128,                0.51837,                0.47372,                0.32801,                 1.1619,                 1.1977,                 1.8048,             0.00051177,             0.00051177,             0.00051177
                     72,                   1.06,                 1.0957,                 1.5962,                0.56276,                0.48469,                0.51871,                   0.38,                 1.0326,                0.97655,                 1.7139,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0722,                  1.112,                 1.6083,                0.35479,                0.62959,                0.48557,                0.35701,                0.94954,                0.94151,                 1.6192,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0553,                 1.1049,                 1.6117,                0.31194,                0.56633,                0.49936,                0.36558,                 1.0139,                 1.0025,                 1.6852,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0475,                 1.0869,                 1.5804,                0.34675,                0.53061,                0.51386,                0.37964,                0.91923,                0.95849,                 1.5782,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0404,                 1.0912,                 1.5775,                0.90244,                0.41253,                0.50524,                0.37406,                0.97044,                0.96666,                 1.6323,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0473,                 1.0989,                 1.5785,                 0.3577,                0.53061,                0.54009,                0.40667,                0.95294,                0.94529,                 1.6164,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0361,                 1.0933,                  1.569,                0.39402,                0.47857,                 0.5054,                0.37389,                  1.009,                0.95364,                 1.6786,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0163,                 1.0988,                  1.555,                0.92837,                0.40612,                0.47852,                0.34701,                0.95421,                 0.9643,                 1.5997,             0.00037974,             0.00037974,             0.00037974
                     80,                  1.022,                 1.0656,                 1.5758,                0.36873,                0.55204,                0.48732,                0.35121,                0.97334,                0.90992,                 1.6422,             0.00036324,             0.00036324,             0.00036324
                     81,                  1.019,                 1.0858,                 1.5721,                0.38258,                 0.5602,                0.50474,                0.37925,                0.93383,                0.90855,                 1.5913,             0.00034674,             0.00034674,             0.00034674
                     82,                  1.002,                 1.0693,                 1.5564,                0.40621,                0.54782,                 0.5185,                0.38317,                0.96388,                 0.8986,                 1.6246,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.0063,                 1.0262,                   1.55,                0.37957,                0.55204,                0.47794,                0.35278,                0.96862,                0.92355,                 1.6088,             0.00031373,             0.00031373,             0.00031373
                     84,                0.99244,                  1.039,                 1.5499,                0.93417,                0.41725,                0.48885,                 0.3603,                0.89424,                0.89979,                 1.5307,             0.00029723,             0.00029723,             0.00029723
                     85,                0.97559,                 1.0027,                 1.5377,                0.37937,                0.59388,                0.48862,                0.36755,                0.91257,                0.90295,                 1.5884,             0.00028072,             0.00028072,             0.00028072
